1,1,9.99000999000999E-4,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n2, o: o2, p: p1])
1,2,9.99000999000999E-4,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
2,1,0.001998001998001998,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n2, o: o2, p: p1])
2,2,0.001998001998001998,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
3,1,0.002997002997002997,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o1, p: p1])
3,2,0.002997002997002997,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
4,1,0.003996003996003996,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f2, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
4,2,0.003996003996003996,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
5,1,0.004995004995004995,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k2, l: l2, m: m1, n: n1, o: o2, p: p1])
5,2,0.004995004995004995,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
6,1,0.005994005994005994,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m2, n: n1, o: o2, p: p1])
6,2,0.005994005994005994,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
7,1,0.006993006993006993,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f2, h: h2, i: i2, j: j2, k: k2, l: l2, m: m1, n: n2, o: o1, p: p1])
7,2,0.006993006993006993,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
8,1,0.007992007992007992,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j1, k: k2, l: l2, m: m1, n: n1, o: o1, p: p1])
8,2,0.007992007992007992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
9,1,0.008991008991008992,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m2, n: n2, o: o2, p: p1])
9,2,0.008991008991008992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
10,1,0.00999000999000999,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, g: g2, f: f2, h: h2, i: i2, j: j2, k: k2, l: l1, m: m1, n: n2, o: o2, p: p1])
10,2,0.00999000999000999,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
11,1,0.01098901098901099,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g2, f: f2, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
11,2,0.01098901098901099,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
12,1,0.011988011988011988,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j1, k: k1, l: l2, m: m1, n: n2, o: o2, p: p2])
12,2,0.011988011988011988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
13,1,0.012987012987012988,PonPokoAgent@18,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e1, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n2, o: o1, p: p1])
13,2,0.012987012987012988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
14,1,0.013986013986013986,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j1, k: k1, l: l2, m: m1, n: n2, o: o2, p: p2])
14,2,0.013986013986013986,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@19,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
15,1,0.014985014985014986,PonPokoAgent@18,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g2, f: f2, h: h2, i: i2, j: j2, k: k1, l: l1, m: m2, n: n1, o: o2, p: p1])
